rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Thomas Conneff,USA,4.21.3,,1,New York,Sep 19
2,James Kibblewhite,GBR,4.24.2,e,3,Trowbridge,Sep 5
3,John F. Dalrymple,AUS,4.25.0,,1,Sydney,Aug 22
4,Alfred George,GBR,4.25.6,,1,Toronto,Sep 26
5,George Orton,CAN,4.26.4,,2,Toronto,Sep 26
6,Basil C. Allen,GBR,4.26.6,,1,London,Mar 20
7,Ernest Hjertberg,SWE,4.27.0,,1,Travers Island,Jun 27
8,C.P. Robertson-Glasgow,GBR,4.27.2,e,2,London,Mar 20
9,Harry Heath,GBR,4.27.8,e,2,Catford Bridge,Jun 20
10,R.W. Oldnall-Russell,GBR,4.28.4,e,3,London,Mar 20
11,W.J. Fowler,GBR,4.28.8,,2,Manchester,Jun 27
12,W.H. Smith,GBR,4.29.0,,1,London,Jun 20
13,William H. Morton,GBR,4.29.4,e,2,Manchester,Jul 18
14,F. Owen-Jones,GBR,4.29.8,,2,Paddington,Sep 26
15,E.J. Case,CAN,4.30.8,,1,Philadelphia,Aug 16
16,Dersley Wood,NZL,4.31.4,,1,Auckland,Feb 06
17,J.R. Hainsworth,GBR,4.31.6,,1,Watford,May 23
17,David S. Duncan,GBR,4.31.6,,1,Edinburgh,Jun 20
19,Henry A. Munro,GBR,4.33.0,e,2,London,Nov 21
20,D. Bennett,USA,4.33.4,e,2,Philadelphia,Aug 16
21,L.C. Palairet,GBR,4.33.6,e,3,Oxford,Feb 25
22,W.J. McCharty,IRL,4.33.8,e,1,Berkeley Oval,May 16
23,E.C. McClelland,USA,4.34.0,e,3,Philadelphia,Aug 16
23,J.D. Reid,USA,4.34.0,e,3,St. Louis,Oct 11
25,Frank Carr,USA,4.34.4,,1,Berkeley Oval,May 30
25,J. Swait,GBR,4.34.4,,1,Berlin,Aug 23
