rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Charles L. Parsons,USA,9.8,1watch,1,Los Angeles,Mar 14
1,William Schick,USA,9.8,,1,New Haven,May 20
1,Harry Hillman,USA,9.8,,1,Albany,Jul 4
1,Eldridge Eatman,CAN,9.8,,1,Moncton,Sep 02
1,John Morton,GBR,9.8,,1,Montreal,Sep 4
1,George Queyrouze,USA,9.8,,1,"Birmibham, Al",Oct 28
7,Archie Hahn,USA,9.9,e,2,Portland,Aug 05
8,Hore,NZL,10.0,,1,Dunedin,Mar 11
8,Arthur Duffey,USA,10.0,,1h,Christchurch,Mar 17
8,Nigel Barker,AUS,10.0,,1=,Sydney,Apr 24
8,William Hogenson,USA,10.0,,1,Philadelphia,Apr 29
8,Samuel Rulon-Miller,USA,10.0,,1,Princeton,May 05
8,William S. Dear,USA,10.0,,1,"Columbia, NY",May 06
8,Harvey Blair,USA,10.0,,1,Evanston,May 6
8,William Frank Hamilton,USA,10.0,,1,Cedar Fall,May 6
8,Daniel D. Dougherty,USA,10.0,,1,Minneapolis,May 13
8,D.J. Torrey,USA,10.0,,1,Princeton,May 13
8,Frank Waller,USA,10.0,,1,Champaign,May 20
8,Edward F. Annis,USA,10.0,,1,Ann Arbor,May 20
8,George L. Swasey,USA,10.0,,1,Worcester,May 20
8,Verne Hendrickson,USA,10.0,,1,St.Louis,May 20
8,William R. Knakal,USA,10.0,,1,"Columbia, NY",May 20
8,Harry Moon,USA,10.0,,1,Lansing,May 27
8,Clyde Blair,USA,10.0,,1,Chicago,Jun 03
8,Ralph Strother,USA,10.0,,1,Chicago,Jun 10
8,Fay Moulton,USA,10.0,,1,Kansas City,Jun 10
8,Forrest Smithson,USA,10.0,,1,Portland,Jun 17
8,Harry H. Thrift,IRL,10.0,,1,Dublin,Jun
8,Patrick Joseph Walsh,USA,10.0,,1h,Montréal,Sep 04
8,Robert Kerr,CAN,10.0,e,2,Montreal,Sep 04
8,Charles Seitz,USA,10.0,,1,New York,Sep 09
8,W.B. Decker,USA,10.0,,1,Washington/DC,Oct 02
8,James Rector,USA,10.0,,1,Int scol rec,
8,Ernest C. Jessup,USA,10.0,,1,New Haven,
8,Meyer,USA,10.0,,1,Int scol rec,
