rank,name,nat,perf_0,perf_1,perf_2,city,date
1,George Knight,GBR,29.06.4,,1,Warsaw,Sep 7
2,Pyotr Bolotnikov,URS,29.09.8,,1,Moscow,Aug 29
3,Vladimir Kuts,URS,29.10.0,,2,Moscow,Aug 29
4,Allan Lawrence,AUS,29.16.4,,2,Moscow,Jul 30
5,Nikolay Pudov,URS,29.19.4,,3,Moscow,Aug 29
6,Yuriy Zakharov,URS,29.19.6,,4,Moscow,Aug 29
7,Aleksey Desyatchikov,URS,29.20.4,,5,Moscow,Aug 29
7,Yevgeniy Zhukov,URS,29.20.4,,6,Moscow,Aug 29
9,Friedrich Janke,GDR,29.21.2,,1,Brno,Oct 12
10,Ivan Chernyavskiy,URS,29.24.8,,7,Moscow,Aug 29
11,Emil Zátopek,TCH,29.25.8,,2,Brno,Oct 12
12,Herbert Schade,FRG,29.29.2,,2,Berlin,Sep 22
13,Lembit Virkus,URS,29.34.4,,8,Moscow,Aug 29
14,Erkki Rantala,FIN,29.37.4,,1,Stockholm,Sep 15
15,Urho Julin,FIN,29.39.4,,1,Helsinki,Aug 28
16,Osvaldo Suarez,ARG,29.39.6,,1,Buenos Aires,Dec 15
17,Walter Lemos,ARG,29.39.8,,1,Buenos Aires,Mar 17
18,Rune Åhlund,SWE,29.40.2,,2,Stockholm,Sep 15
19,Walter Konrad,FRG,29.41.0,,3,Helsinki,Aug 28
20,Ivan Ullsperger,TCH,29.44.4,,1,Prague,Aug 23
21,Thyge Thögersen,DEN,29.45.0,,2,Brussels,Sep 18
22,Miklos Szabo II,HUN,29.46.4,,,Prague,Sep 14
23,Eero Tuomaala,FIN,29.47.0,,3,Kouvola,Aug 04
23,Gerhard Hönicke,GDR,29.47.0,,3,Chorzow,Oct 05
25,Jozsef Kovacs,HUN,29.48.6,,1,Helsinki,Jul 19
