rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Aries Merritt,USA,12.80,,1,Bruxelles,Sep 07
2,Xiang Liu,CHN,12.97,,1,Shanghai,May 19
3,Jason Richardson,USA,12.98,,1sf3,"Eugene, OR",Jun 30
4,David Oliver,USA,13.07,,1,Albi,Aug 15
5,Jeff Porter,USA,13.08,,3,"Eugene, OR",Jun 30
6,Orlando Ortega,CUB,13.09,,1,La Habana,May 27
6,Sergey Shubenkov,RUS,13.09,,1sf2,Helsinki,Jul 01
8,Dayron Robles,CUB,13.10,,1sf3,London,Aug 08
9,Hansle Parchment,JAM,13.12,,3,London,Aug 08
10,Dexter Faulk,USA,13.13,,1r2,Ostrava,May 25
11,Antwon Hicks,USA,13.14,,4,"Eugene, OR",Jun 30
12,Garfield Darien,FRA,13.15,,1sf3,Helsinki,Jul 01
13,Ryan Wilson,USA,13.18,,3,London,Jul 13
14,Andrew Riley,JAM,13.19,,2,"Kingston, JAM",Jun 30
15,Ronnie Ash,USA,13.20,,2,"Kingston, JAM",May 05
16,Joel Brown,USA,13.23,,1,Tomblaine,Jul 08
16,Ryan Brathwaite,BAR,13.23,,2h5,London,Aug 07
18,Omo Osaghae,USA,13.24,,2r2,"Des Moines, IA",Apr 28
18,Lehann Fourie,RSA,13.24,,6,Bruxelles,Sep 07
20,Artur Noga,POL,13.27,,3,Helsinki,Jul 01
21,Emanuele Abate,ITA,13.28,,3,Torino,Jun 08
22,Tyrone Akins,USA,13.30,,1r2,Luzern,Jul 17
23,Shane Brathwaite,BAR,13.31,A,1,Irapuato,Jul 07
23,Lawrence Clarke,GBR,13.31,,3sf1,London,Aug 08
25,David Payne,USA,13.32,,2h3,"Eugene, OR",Jun 29
25,Barrett Nugent,USA,13.32,A,2,Irapuato,Jul 07
