rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Kaarlo Tuominen,FIN,9.16.6,,1,Viipuri,Aug 6
1,Alf Lindblad,FIN,9.16.6,,2,Viipuri,Aug 6
3,Alfred Dompert,GER,9.18.0,,1,Berlin,Jul 24
4,Floyd Lochner,USA,9.20.8,,1,Princeton,Jun 19
5,Thomas Deckard,USA,9.21.0,,1,Philadelphia,Apr 23
6,Lars Larsson,SWE,9.21.6,,1,Göteborg,Aug 29
7,Joseph McCluskey,USA,9.23.7,e+,1,Jersey City,Jun 06
8,Ivar Johansson,SWE,9.27.0,,2,Göteborg,Aug 29
9,Eino Pentti,USA,9.27.4,e+,2,Jersey City,Jun 06
10,Ludwig Kaindl,GER,9.28.2,,2,Berlin,Jul 24
11,Onni Kepponen,FIN,9.31.0,,3,Viipuri,Aug 6
12,Karl Otto,GER,9.31.2,,3,Berlin,Jul 24
13,Roger Cuzol,FRA,9.31.4,h-,1,Colombes,Jul 24
14,Jean Chapelle,BEL,9.32.4,,1,Schaerbeek,Aug 29
15,Hideo Tanaka,JPN,9.32.8,,2,Tokyo,Aug 28
16,Volmari Iso-Hollo,FIN,9.33.6,,1,Helsinki,Sep 05
17,Oscar van Rumst,BEL,9.34.0,,2,Krefeld,Jul 04
18,Tore Söderström,SWE,9.35.0,,3,Göteborg,Aug 29
19,Ilario Ugolini,ITA,9.35.4,,1,Firenze,Aug 08
20,Jean Gallet,FRA,9.35.8,h-,2,Colombes,Jul 24
21,Toivo Loukola,FIN,9.37.0,,4,Viipuri,Aug 06
22,Rolf Holthuis,GER,9.37.2,,1,Hamburg,Jun 27
23,Rolf Seidenschnur,GER,9.41.0,,2,Hamburg,Jun 27
24,William Wylie,GBR,9.42.2,h-,3,Colombes,Jul 24
24,Verner Toivonen,FIN,9.42.2,,5,Viipuri,Aug 06
