rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Vasiliy Kuznetsov,URS,8357,,1,Moscow,May 17
2,Martin Lauer,FRG,7955,,1,Düsseldorf,Aug 30
3,Chuan-Kwang Yang,TWN,7835,,1,El Monte,Aug 28
4,David Edstrom,USA,7599,,2,Philadelphia,Jul 19
5,Yuriy Kutenko,URS,7535,,2,Moscow,May 17
6,Walter Tschudi,SUI,7298,,1,Duisburg,Jul 19
7,Philip Mulkey,USA,7257,,1,Memphis,Jun 21
8,Eef Kamerbeek,NED,7103,,1,Vlaardingen,Sep 6
9,Markus Kahma,FIN,7088,,1,Vaasa,Aug 2
10,Walter Meier,GDR,7061,,1,Damascus,Apr 24
11,Mike Herman,USA,7026,,3,Philadelphia,Jul 19
12,Franco Sar,ITA,7019,,1,Formia,Nov 08
13,Stoyan Slavkov,BUL,6955,,1,Bucharest,Sep 20
14,Joze Brodnik,YUG,6954,,2,Bucharest,Sep 20
15,Boris Petrichenko,URS,6928,,1,Leningrad,Jul 16
16,Oleg Kholodok,URS,6887,,1,Krasnodar,Sep 14
17,Werner von Moltke,FRG,6880,,3,Duisburg,Jul 19
18,Mikhail Storozhenko,URS,6877,,1,Lvov,Oct 18
19,Fritz Vogelsang,SUI,6857,,1,Basel,Jul 11
20,Igor Ter-Ovanesyan,URS,6853,,4,Philadelphia,Jul 19
21,Leonid Lagutin,URS,6815,,1,Moscow,Jun 29
22,Victor Cinca,ROU,6773,,3,Bucharest,Sep 20
23,Boris Stolyarov,URS,6753,,3,Moscow,Aug 13
24,Wolfgang Utech,GDR,6745,,1,Aue,Aug 09
25,Klaus Grogorenz,GDR,6740,,1,Berlin,Oct 18
