rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Edmund Piatkowski,POL,59.91,,1,Warsaw,Jun 14
2,József Szécsényi,HUN,59.03,,1,Budapest,Oct 3
3,Alfred Oerter,USA,58.12,,1,Chicago,Aug 31
4,Rink Babka,USA,57.96,,1,Santa Barbara,Mar 28
5,Fortune Gordien,USA,56.76,,1,El Monte,Aug 21
6,Parry O'Brien,USA,56.43,,1,Helsinki,Jun 29
7,Stephanus du Plessis,RSA,56.33,,1,Durban,Mar 30
8,Vladimir Lyakhov,URS,56.27,,1,Moscow,Aug 30
9,Vladimir Trusenyov,URS,56.26,,1,Nalchik,May 3
10,Kim Bukhantsev,URS,56.20,,1,Moscow,May 17
11,Jay Silvester,USA,56.08,,1,Compton,Jun 05
12,Andonios Kounadis,GRE,56.06,,1,Athens,Jul 21
13,Viktor Kompaneyets,URS,56.02,,1,Tallinn,Jul 12
14,Manfred Grieser,GDR,55.24,,1,Schwerin,Jun 21
15,Richard Cochran,USA,55.08,,2,Helsinki,Jun 29
16,Ferenc Klics,HUN,55.02,,1,Budapest,Oct 24
17,Zdenek Nemec,TCH,54.89,,1,Brno,Sep 20
18,Otto Grigalka,URS,54.82,,3,Philadelphia,Jul 19
19,Adolfo Consolini,ITA,54.78,,1,Biella,Sep 20
20,Todor Artarski,BUL,54.61,,2,Bucharest,Sep 21
21,Kaupo Metsur,URS,54.47,,2,Tallinn,Jul 10
22,Carmelo Rado,ITA,54.45,,1,Biella,Jun 28
23,Fritz Kühl,GDR,54.16,,1,Potsdam,Jun 17
23,Anatoliy Mikhailenko,URS,54.16,,1,Kharkov,Oct 14
25,Dako Radosevic,YUG,54.11,,1,Mostar,Oct 04
