rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Sergey Litvinov,URS,83.48,,1,Karl-Marx-Stadt,Jun 21
2,Igor Astapkovich,URS,82.96,,1,Novopolotsk,Sep 26
3,Vyacheslav Korovin,URS,82.24,,1,Chelyabinsk,Jun 20
4,Juri Tamm,URS,82.02,,1,Bryansk,Jul 19
5,Igor Nikulin,URS,82.00,,2,Adler,May 23
6,Ralf Haber,GDR,81.84,,1,Potsdam,Aug 21
7,Benjaminas Viluckis,URS,81.82,,1,Siauliai,Jul 5
8,Günther Rodehau,GDR,81.58,,2,Potsdam,Aug 21
9,Sergey Ivanov,RUS,81.10,,1,Chelyabinsk,Jun 27
10,Christoph Sahner,FRG,80.74,,1,Heidenheim,May 23
11,Sergey Alay,BLR,80.52,,1,Gomel,Jul 05
12,Yuriy Sedykh,URS,80.34,,2,Cork City,Jul 07
13,Heinz Weis,FRG,80.18,,6,Rome,Sep 01
14,Viktor Apostolov,BUL,80.12,,1,Sofia,Aug 22
15,Vasiliy Sidorenko,URS,80.02,,1,Baku,Sep 13
16,Jörg Schaefer,FRG,79.84,,1,Gelsenkirchen,Jul 12
17,Johann Lindner,AUT,79.70,,1,Schwechat,Jun 24
18,Kenneth Flax,USA,79.64,,1,Corvallis,Jun 05
19,Plamen Minev,BUL,79.58,,2,Sofia,Aug 15
20,Jud Logan,USA,79.36,,1,Lexington,Apr 17
21,Ivan Tanev,BUL,79.32,,1,Drama,Aug 09
22,Donatas Plunge,URS,79.14,,1,Kaunas,Jul 05
22,Tibor Gecsek,HUN,79.14,,1,Miskolc,Aug 19
24,Mikhail Popel,URS,79.10,,2,Stayki,Sep 13
25,Aleksandr Puchkov,URS,78.86,,1,Petrazavodsk,Jul 11
