rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Zhu Jian Hua,CHN,2.39,,1,Eberstadt,Jun 10
2,Valeriy Sereda,URS,2.37,,1,Rieti,Sep 2
2,Carlo Thränhardt,FRG,2.37,,2,Rieti,Sep 2
4,Sergey Zasimovich,URS,2.36,,1,Tashkent,May 5
4,Dietmar Mögenburg,FRG,2.36,,3,Eberstadt,Jun 10
6,Sorin Matei,ROU,2.34,,1,Bucharest,Jun 9
6,Dwight Stones,USA,2.34,,1,Los Angeles,Jun 24
8,Javier Sotomayor,CUB,2.33,,1,Havanna,May 19
8,Aleksandr Kotovich,URS,2.33,,1,Sofia,May 20
8,Patrik Sjöberg,SWE,2.33,,4,Eberstadt,Jun 10
8,Vladimir Granyenkov,URS,2.33,,1,Moscow,Aug 5
8,Aleksey Demianyuk,URS,2.33,,2,Moscow,Aug 5
8,Jimmy Howard,USA,2.33,,1,London,Aug 18
14,Eddy Annijs,BEL,2.32,,1,Saint Lambrechts-Woluwe,Jul 01
15,Doug Nordquist,USA,2.31,,2,Los Angeles,Jun 24
15,Gennadiy Avdeyenko,URS,2.31,,1,Moscow,Jul 19
15,Dariusz Zielke,POL,2.31,,1,Warsaw,Aug 12
15,Jacek Wszola,POL,2.31,,2,Brussels,Aug 24
15,Andreas Sam,GDR,2.31,,1,Prague,Aug 28
15,Brent Harken,USA,2.31,,2,Rome,Aug 31
21,Takao Sakamoto,JPN,2.30,,1,Tokyo,May 06
21,Vadim Oganyan,URS,2.30,,2,Tashkent,May 13
21,Gerd Nagel,FRG,2.30,,5,Eberstadt,Jun 10
21,Francisco Centelles,CUB,2.30,,1,London (CP),Jun 24
21,Jerome Carter,USA,2.30,,1,Oslo,Jul 21
21,Gerd Wessing,GDR,2.30,,1,Nanjing,Sep 17
1,Carlo Thränhardt,FRG,2.37,i,1,Berlin,Feb 24
2,Igor Paklin,URS,2.36,i,1,Milan,Feb 01
3,Constantin Militaru,ROU,2.31,i,1,Sofia,Feb 11
