rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Ragnar Ericzon,SWE,73.93,,1,Örebro,Sep 3
2,Viktor Tsybulenko,URS,73.37,,1,Iasi,Nov 12
3,Per-Arne Berglund,SWE,73.25,,2,Örebro,Sep 3
4,Toivo Hyytiäinen,FIN,72.60,,1,Imatra,May 28
5,Tapio Rautavaara,FIN,72.51,,1,Stockholm,Jul 28
6,Harry Vallmann,URS,71.66,,1,Odessa,Oct 1
7,Sven Daleflod,SWE,71.32,,1,Ludvika,Aug 9
8,Gunnar Petersson,SWE,71.26,,1,Vimmerby,Jul 12
8,Otto Bengtsson,SWE,71.26,,1,Sibbhult,Jul 28
10,Franklin Held,USA,71.13,,1,Palo Alto,Apr 1
11,Hans Moks,EST,70.14,,1,Stockholm,Sep 06
12,George Roseme,USA,70.08,,1,Los Angeles,Apr 15
13,Raimo Lunila,FIN,69.98,,2,Helsinki,Sep 10
14,Soini Nikkinen,FIN,69.88,,1,Hämeenlinna,Jun 11
15,Seymour Steve Cohen,USA,69.77,,1,College Park,Jun 24
16,Delfs Pickarts,USA,69.30,,1,Santa Barbara,Apr 15
17,William Miller,USA,69.11,,1,Oslo,Jul 07
18,Stig Oldén,SWE,68.66,,1,Malmö,Jun 07
19,Pauli Vesterinen,FIN,68.52,,1,Helsinki,Sep 22
20,Ralph Roylance,USA,68.12,,1,Provo,Apr 15
21,Ivan Sotnikov,URS,68.04,,1,Kiev,Jul 30
22,Yuriy Shcherbakov,URS,67.86,,2,Odessa,Oct 01
23,Mirko Vujacic,YUG,67.74,,1,Zagreb,Jul 30
24,Erwin Pektor,AUT,67.58,,1,Zagreb,Jun 11
25,Erkki Raatikainen,FIN,67.56,,2,Tampere,Sep 18
