rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Albert Gutterson,USA,7.60,,1,Stockholm,Jul 12
2,Eugene Mercer,USA,7.275,,1,Philadelphia,Apr 27
3,Calvin Bricker,CAN,7.21,,2,Stockholm,Jul 12
4,Harry Worthington,USA,7.20,,1,Cambridge,Jun 8
5,Georg Åberg,SWE,7.18,,3,Stockholm,Jul 12
6,Frederick Allen,USA,7.155,,1,Berkeley,May 4
7,Platt Adams,USA,7.12,,1,New York,Oct 20
8,James Thorpe,USA,7.085,,D,New York,Sep 2
9,Percy Kirwan,IRL,7.07,,1,London,Jun 22
9,Henri Puncet,FRA,7.07,,1,Bordeaux,Jun 2
11,Henry Ashington,GBR,7.03,,1,London,Mar 23
12,Ethelbert  Southee,AUS,7.01,,1,Sydney,Nov 02
13,Angelo Tonini,ITA,7.00,,1,Valenza,May 26
13,Theodore Cable,USA,7.00,,3,Cambridge,Jun 08
15,Harry Babcock,USA,6.99,,1,"Annapolis, MD",May 11
16,H.T. Lambert,USA,6.97,,2,"Lafayette, IN",Jun  1
17,Francis Irons,USA,6.94,,1,"Chicago, IL",Jun  8
18,Harold Morrison,USA,6.93,,2,"Berkeley, CA",Apr 20
18,James Watson,GBR,6.93,,1,Edinburgh,Jul 20
20,M.R. Diggs,USA,6.88,,2,"Philadelphia, PA",May 31
21,Viktor Franzl,AUT,6.92,,1,Wien,Sep 29
22,Josef Albrecht,GER,6.91,,1,Pforzheim,Jul 18
23,John Nicholson,USA,6.90,,1,"Columbia, MO",Apr 20
24,Ferdinand Bie,NOR,6.89,,1,Kristiania,May 12
24,André Campana,FRA,6.89,,1,Bordeaux,Jun 02
