rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Sergey Bubka,UKR,6.02,,1,Atlanta,May 18
2,Okkert Britts,RSA,6.01,,1,Stellenbosch,Mar 15
2,Igor Trandenkov,RUS,6.01,,1,Pietari,Jul 4
4,Lawrence Johnson,USA,5.98,,1,Knoxville,May 25
5,Andrej Tivontchik,GER,5.95,,1,Köln,Aug 16
6,Jean Galfione,FRA,5.92,,1,Atlanta,Aug 2
7,Tim Lobinger,GER,5.91,,1,Leverkusen,Aug 20
8,Joe Dial,USA,5.90,,1,Stillwater,Jun 2
8,Pyotr Bochkaryov,RUS,5.90,,1,Karlskrona,Jun 28
8,Igor Potapovich,KAZ,5.90,,1,Nizza,Jul 10
8,Maksim Tarasov,RUS,5.90,,2,Nizza,Jul 10
8,Scott Huffman,USA,5.90,,1,Linz,Aug 21
13,Dmitriy Markov,BLR,5.86,,6,Atlanta,Aug 02
14,Tim Bright,USA,5.85,,1,Monmouth,Jun 08
14,Riaan Botha,RSA,5.85,,1,Pierre Bénite,Jun 14
16,Michael Holloway,USA,5.81,,1,San José,Jun 01
17,Simon Arkell,AUS,5.80,,1,Adelaide,Jan 26
17,Dean Starkey,USA,5.80,,1,Modesto,May 11
17,Rodion Gataullin,RUS,5.80,,6,Moscow,Jun 07
17,Viktor Chistyakov,RUS,5.80,,7,Moscow,Jun 07
17,Pat Manson,USA,5.80,,1,Long Beach,Jun 08
17,Jeff Hartwig,USA,5.80,,2,Atlanta,Jun 16
17,Vadim Strogalyov,RUS,5.80,,2,Helsinki,Jun 25
17,Alain Andji,FRA,5.80,,4,Paris,Jun 28
17,Kory Tarpenning,USA,5.80,,4=,Lausanne,Jul 03
1,Radion Gataullin,RUS,5.90,i,2,Liévin,Feb 18
