rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Jack Torrance,USA,16.60,,1,Houston,Jun 8
2,Hans Woellke,GER,16.33,,1,Weissenfels,Sep 8
3,John Lyman,USA,16.06,,1,San Diego,Jun 27
3,Arnold Viiding,EST,16.06,,1,Tallinn,Sep 14
5,Gordon Dunn,USA,15.89,,1,Fresno,May 11
6,Jozsef Daranyi,HUN,15.77,,1,Budapest,Sep 28
7,Gunnar Bergh,SWE,15.75,,1,Örebro,Oct 13
8,Sulo Bärlund,FIN,15.74,,2,Helsinki,Aug 25
9,Elvyn Dees,USA,15.72,,1,Manhattan,May 4
10,James Reynolds,USA,15.69,,1,Palo Alto,May 18
11,Wilhelm Schröder,GER,15.67,,1,Königsberg,Sep 15
12,Risto Kuntsi,FIN,15.65,,1,Riga,Sep 28
13,Gerhard Stöck,GER,15.64,,2,Paris,Sep 15
14,Zbigniew Tilgner,POL,15.63,,1,Poznan,Sep 08
15,James Tichenor,USA,15.59,,1,Austin,Mar 30
16,Zygmunt Heljasz,POL,15.58,,1,Poznan,Aug 18
17,Donald Elser,USA,15.55,,1,Notre Dame,May 18
18,George Theodoratus,USA,15.49,,2,Berkeley,Mar 30
18,Frantisek Douda,TCH,15.49,,1,Beograd,Jun 17
20,Theo Werring,GER,15.48,,1,Gronau,Oct 13
21,Ernst Lampert,GER,15.46,,2,Hannover,Jun 16
22,George Mackey,USA,15.40,,2,Berkeley,Mar 16
22,Dimitri Zaitz,USA,15.40,,1,Portland,May 25
24,Clément Duhour,FRA,15.36,,2,Biarritz,Aug 11
25,Aad de Bruyn,NED,15.35,,1,Malmö,Jun 10
