rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Cornelius H. Leahy,IRL,15.11,hhj,1,Ashford,
2,J.J. Murphy,IRL,14.63,hhj,1,Donoughmore,Jul 06
3,D.J. Buckley,IRL,14.48,hhj,-,Macroom,Aug 17
4,Peter O'Connor,IRL,14.45,hhj,1,Wexford,Aug 31
5,Patrick Leahy,IRL,14.37,hhj,1,Dungarvan,Sep 07
6,Pat Teahan,IRL,14.12,hhj,-,Killorglin,Aug 21
6,Thomas Kiely,IRL,14.12,hhj,3,Dungarvan,Sep 07
8,M. Lerhy,IRL,14.10,hhj,1,Tipperary,Aug 10
9,T. O'Connor,IRL,14.02,hhj,-,Milltown,Aug 15
9,P.J. Ring,IRL,14.02,hhj,-,Macroom,Aug 17
11,Michael Creed,IRL,13.98,hhj,2,Tipperary,Aug 10
12,A. Graham,USA,13.79,hsj,1,Des Moines,May 20
13,P.H. Buck,NZL,13.61,,ex,Dunedin,Dec 23
14,Johannes Jensen,NOR,13.45,,D,Kristiania,Sep 07
15,Len McKay,NZL,13.37,hsj,1,Dunedin,Jan 01
16,Frans Frise,SWE,13.33,,1Q,Jönköping,Aug 30
17,Christen Seeberg,NOR,13.23,,1,Kristiania,Jun 15
18,Edvard Larsen,NOR,13.15,,3,Kristiania,Jun 15
18,Axel Benzon,DEN,13.15,,Q,Kolding,Jul 27
20,Bohumil Pohl-Polewsky,BOH,13.05,,,,
21,Ernst Pettersson,SWE,13.02,,,Göteborg,
22,Oscar Hatlen,NOR,12.80,,1,Bergen,Aug 24
23,H. Jansen,NOR,12.79,,1,Kristiania,Jul 12
24,Carl Holmberg,SWE,12.78,,Q,"Kolding, DEN",Jul 27
25,Victor Johansson,SWE,12.75,,2,Jönköping,Aug 31
