rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Ingrid Kristiansen,NOR,30.59.42,,1,Oslo,Jul 27
2,Olga Bondarenko,URS,31.25.18,,1,Moscow,Jun 09
3,Aurora Cunha,POR,31.35.46,,2,Oslo,Jul 27
4,Svetlana Guskova,URS,31.57.80,,2,Moscow,Jun 09
5,Lynn Jennings,USA,32.03.37,,3,Oslo,Jul 27
6,Lisa Ondieki-Martin,AUS,32.17.86,,4,Oslo,Jul 27
7,Francie Larrieu,USA,32.18.29,,1,Indianapolis,Jun 14
8,Mary Knisely,USA,32.19.93,,2,Canberra,Oct 05
9,Yelena Zhupiyeva,URS,32.25.37,,1,Donetsk,Aug 27
10,Yelisaveta Bradu,URS,32.25.62,,3,Moscow,Jun 09
11,Carla Beurskens,NED,32.28.28,,5,Oslo,Jul 27
12,Nadezhda Stepanova,URS,32.29.28,,4,Moscow,Jun 09
13,Marina Rodchenkova,URS,32.32.55,,5,Moscow,Jun 09
14,Rosa Mota,POR,32.33.51,,6,Oslo,Jul 27
15,Valentina Yeltsova,URS,32.38.02,,6,Moscow,Jun 09
16,Anna Domoratskaya,URS,32.39.50,,7,Moscow,Jun 09
17,Kirsten O'Hara,USA,32.40.76,,2,Indianapolis,Jun 14
18,Linda McLennan,USA,32.43.45,,2,Walnut,Apr 27
19,Charlotte Teske,FRG,32.43.7,,1,Bochum,Sep 06
20,Ines Bibernell,GDR,32.45.58,,4,Canberra,Oct 05
21,Karolina Szabo,HUN,32.45.70,,1,Budapest,May 25
22,Tatyana Gridneva,URS,32.54.2,,1,Leningrad,Jul 18
23,Anne Audain,NZL,32.57.40,,4,Indianapolis,Jun 14
24,Marina Belyaeva,URS,32.59.08,,8,Moscow,Jun 09
25,Maria Vasilyuk,URS,32.59.72,,9,Moscow,Jun 09
