rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Beatrice Chepkoech,KEN,8:44.32,,1,Monaco (MON),Jul 20
2,Norah Jeruto,KEN,8:59.62,,2,Bruxelles (BEL),Aug 31
3,Courtney Frerichs,USA,9:00.85,,2,Monaco (MON),Jul 20
4,Hyvin Kiyeng,KEN,9:01.60,,3,Bruxelles (BEL),Aug 31
5,Celliphine Chepteek Chespol,KEN,9:01.82,,2,Paris (FRA),Jun 30
6,Emma Coburn,USA,9:05.06,,4,Monaco (MON),Jul 20
7,Peruth Chemutai,UGA,9:07.94,,6,Monaco (MON),Jul 20
8,Roseline Chepngetich,KEN,9:08.23,,7,Monaco (MON),Jul 20
9,Colleen Quigley,USA,9:10.27,,1,Berlin (GER),Sep 02
10,Daisy Jepkemei,KEN,9:10.71,,8,Monaco (MON),Jul 20
11,Winfred Mutile Yavi,BRN,9:10.74,,9,Monaco (MON),Jul 20
12,Aisha Praught,JAM,9:14.09,,8,Bruxelles (BEL),Aug 31
13,Yekaterina Ivonina,RUS,9:16.68,,1,Kazan (RUS),Jul 20
14,Karoline Bjerkeli Grøvdal,NOR,9:18.36,,11,Monaco (MON),Jul 20
15,Gesa Felicitas Krause,GER,9:19.80,,1,Berlin (GER),Aug 12
16,Purity Kirui,KEN,9:21.34,,5,Shanghai (CHN),May 12
17,Luiza Gega,ALB,9:22.00,,9,Roma (ITA),May 31
18,Fabienne Schlumpf,SUI,9:22.29,,2,Berlin (GER),Aug 12
19,Joan Chepkemoi,KEN,9:22.85,,6,Shanghai (CHN),May 12
20,Mary Wanjiru,KEN,9:23.4h,,1,Nairobi (KEN),Jun 06
21,Genevieve Lacaze,AUS,9:23.69,,3,Berlin (GER),Sep 02
22,Marua Mima,SLO,9:28.61,,4,Berlin (GER),Sep 02
23,Mercy Chepkurui,KEN,9:29.42,,2,Nairobi (KEN),Jun 11
24,Adva Cohen,ISR,9:29.74,,5,Berlin (GER),Aug 12
25,Elena Burkard,GER,9:29.76,,6,Berlin (GER),Aug 12
