rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Karin Rossley,GDR,54.28,,1,Jena,May 18
2,Bärbel Klepp-Broschat,GDR,54.55,,1,Sittard,Aug 16
3,Ellen Neumann,GDR,54.56,,2,Sittard,Aug 16
4,Tatyana Storozheva,URS,54.80,,1,Moscow,Jun 12
5,Marina Makeyeva,URS,55.21,,2h1,Moscow,Jul 04
6,Petra Pfaff,GDR,55.60,,3,Jena,May 17
7,Yekaterina Fesenko,URS,55.66,,2,Moscow,Jun 12
8,Anna Kastetskaya,URS,55.81,,2,Moscow,Jul 05
9,Tatyana Zubova,URS,56.09,,3,Donetsk,Sep 07
10,Esther Mahr,USA,56.16,,2s2,Sittard,Aug 15
11,Sandy Myers,USA,56.40,,1,Eugene,May 24
12,Mary Appleby,IRL,56.51,,4,Sittard,Aug 16
13,Tatyana Zelentsova,URS,56.52,,4,Donetsk,Sep 07
14,Nadyezhda Ryseva,URS,56.56,,3,Moscow,Jun 12
15,Anne Louise Skoglund,SWE,56.68,,1,Helsinki,Aug 31
16,Christine Warden,GBR,56.76,,1,Stuttgart,Jun 05
16,Rita Bottiglieri,ITA,56.76,,2,Bologna,Sep 10
18,Hilde Fredriksen,NOR,56.85,,6,Sittard,Aug 16
18,Lyn Foreman,AUS,56.85,,1,Canberra,Dec 21
20,Bonka Dimova,BUL,56.96,,1,Sofia,Jun 14
21,Heike Bessler,GDR,57.08,,3,Karl-Marx-Stadt,May 25
22,Brigitte Köhn,GDR,57.10,,3,Cottbus,Jul 16
23,Montserrat Pujol,ESP,57.34,,1,Winterhur,Jun 14
24,Rosa Colorado,ESP,57.41,,1,Barcelona,Sep 20
25,Edna Brown,USA,57.62,,1s1,Eugene,May 23
