rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Gail Devers,USA,12.33,,1,Sacramento,Jul 23
2,Delloreen Ennis-London,JAM,12.52,,1,Kingston,Jul 22
3,Glory Alozie,NGR,12.54,,2,Zürich,Aug 11
4,Michelle Freeman,JAM,12.57,,2,Kingston,Jul 22
4,Melissa Morrison,USA,12.57,,1s1,Sacramento,Jul 23
6,Anjanette Kirkland,USA,12.63,,1,Walnut,Apr 16
7,Olga Shishigina,KAZ,12.65,,3,Lausanne,Jul 5
8,Joanna Hayes,USA,12.67,,2s1,Sacramento,Jul 23
9,Sharon Couch,USA,12.68,,3s1,Sacramento,Jul 23
10,Donica Merriman,USA,12.70,,1,Philadelphia,Apr 29
10,Brigitte Foster,JAM,12.70,,2s2,Sydney,Sep 27
12,Natalya Shekhodanova,RUS,12.75,,1,Yokohama,Sep 09
13,Nicole Ramalalanirina,FRA,12.76,,1,La Chaux-de-Fonds,Aug 13
14,Tonya Lawson,USA,12.77,A,1,Flagstaff,Jul 06
15,Svetla Dimitrova,BUL,12.78,,1,Haniá,Jun 14
15,Miesha McKelvy,USA,12.78,,5s1,Sacramento,Jul 23
17,Nadine Faustin,HAI,12.80,,2,Haniá,Jun 14
18,Linda Ferga,FRA,12.81,,6,Lausanne,Jul 05
18,EllaKisha Williamson,USA,12.81,,4,Sacramento,Jul 23
20,Olena Krasovska,UKR,12.82,,1,Kiev,Aug 03
20,Astia Walker,JAM,12.82,,1,Leverkusen,Aug 20
20,Aliuska Lopez,CUB,12.82,,2,Yokohama,Sep 09
20,Keturah Anderson,CAN,12.82,,1h1,Sydney,Sep 25
24,Angie Vaughn,USA,12.83,,6s1,Sacramento,Jul 23
25,Joyce Bates,USA,12.85,,1,Durham,Jun 03
