rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Tamara Press,URS,59.70,,Q,Moscow,Aug 11
2,Jolan Kleiber,HUN,57.86,,1,Budapest,Aug 01
3,Lyudmila Shcherbakova,URS,57.83,,1,Krasnodar,Sep 09
4,Judit Stugner,HUN,56.98,,2,Budapest,Aug 01
5,Anita Hentschel,GDR,56.20,,1,Karl-Marx-Stadt,Jul 24
6,Ingrid Lotz,GDR,55.98,,1,Leipzig,Aug 28
7,Liesel Westermann,FRG,55.81,,1,Ludwigshafen,Sep 26
8,Liu De-Tsui,CHN,55.10,,1,Peking,Aug 28
9,Yevgenia Kuznetsova,URS,55.04,,1,Kiev,Aug 07
10,Virginia Mikhailova,BUL,55.02,,1,Neon Faliron,Sep 10
11,Kriemhild Limberg,FRG,54.75,,1,Lübeck,Sep 10
11,Jirina Nemcova,TCH,54.75,,1,Timisoara,Sep 30
13,Christine Spielberg,GDR,54.65,,2,Leipzig,Aug 14
14,Aleksandra Zhelobkovich,URS,54.20,,1,Minsk,Jul 28
15,Karin Illgen,GDR,54.09,,3,Leipzig,Sep 22
16,Olimpia Catarama,ROU,53.82,,1,Camp. Muscel,May 29
17,Lyubov Yakovtseva,URS,53.77,,1,Kiev,Jun 20
18,Irene Grieser,GDR,53.70,,1,Leipzig,Jun 19
19,Hella Ulbricht,GDR,53.59,,1,Reg. Britingen,May 23
20,Kazimiera Rykowska,POL,53.05,,1,Lodz,Jun 22
21,Elivia Ballotta,ITA,52.99,,1,Milan,Oct 03
22,Marjatta Mäkinen,FIN,52.89,,1,Tallinn,Oct 03
23,Antonina Popova,URS,52.55,,1,Leningrad,May 16
24,Lyudmila Muravyova,URS,51.80,,Q,Alma Ata,Oct 11
25,Zyta Mojek,POL,51.60,,1,Mielec,Oct 16
