rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Yipsi Moreno,CUB,75.18,,1,La Habana,Apr 25
2,Olga Kuzenkova,RUS,75.02,,1,Athens,Aug 25
3,Olga Tsander,BLR,74.72,,1,Minsk,Jul 10
4,Iryna Sekachova,UKR,74.16,,1,Kiev,Jun 12
5,Yelena Konevtseva,RUS,73.68,,2,Tula,Jul 25
6,Yunaika Crawford,CUB,73.16,,3,Athens,Aug 25
7,Manuela Montebrun,FRA,72.73,,1,Aunay-sur-Odon,Jun 30
7,Betty Heidler,GER,72.73,,4,Athens,Aug 25
9,Gulfiya Khanafeyeva,RUS,72.71,,1,Kazan,Jul 09
10,Kamila Skolimowska,POL,72.57,,5,Athens,Aug 25
11,Wenxiu Zhang,CHN,72.42,,1,Chengdu,Apr 03
12,Gu Yuan,CHN,72.36,,2,Padova,Jul 03
13,Erin Gilreath,USA,72.12,,1,Tempe,Apr 10
14,Tatyana Lysenko,RUS,71.54,,2,Kazan,Jul 09
15,Ester Balassini,ITA,71.28,,1,Rome,Jun 26
16,Mihaela Melinte,ROU,71.26,,1,Bucharest,Aug 07
17,Anna Mahon,USA,70.88,A,2Q,Provo,Jun 25
18,Andrea Bunjes,GER,70.73,,3Q,Athens,Aug 23
19,Marina Smaliachkova,BLR,70.39,,1,Stayki,Jun 26
20,Oksana Menkova,BLR,70.23,,1,Minsk,May 23
21,Candice Scott,TRI,69.94,,9,Athína,Aug 25
21,Katalin Divós,HUN,69.94,,4,Szombathely,Sep 05
23,Natalya Zolotuhina,UKR,69.73,,1,Kiev,Jul 24
24,Svetlana Sudak,BLR,69.59,,2,Minsk,Jul 09
25,Ivana Brkljacic,CRO,69.38,,1,Varadin,May 08
