rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Alice Coachman,USA,1.68,,1,London,Aug 7
1,Dorothy Tyler,GBR,1.68,,2,London,Aug 7
3,Galina Ganeker,URS,1.64,,1,Kharkov,Sep 11
4,Aleksandra Chudina,URS,1.63,,1,Leningrad,May 28
5,Dora Gardner,GBR,1.625,,1,Worthing,May 15
5,Vinton Beckett,JAM,1.625,,ex,Kingston,Jun
7,Micheline Ostermeyer,FRA,1.61,,3,London,Aug 7
8,Carmen Phipps,JAM,1.609,,1,Kingston,May 24
9,Doreen Dredge,CAN,1.60,,1,Winnipeg,Jun 25
9,Bertha Crowther,GBR,1.60,,2,Chiswick,Jun 05
9,Fanny Blankers-Koen,NED,1.60,,1,Rome,Jun 27
9,Anne Iversen,DEN,1.60,,1,Amsterdam,Aug 14
13,Feodora Schenk,AUT,1.59,,1,Graz,May 29
13,Hilde Kalankiewicz,GER,1.59,,1,Kassel,Jul 25
15,Doris Hill,USA,1.574,,1,Tuskegee,Apr 03
15,Sheila Alexander,GBR,1.574,,1,London,Sep 04
15,Patricia Fleming,CAN,1.574,,1,Seattle,Aug 21
18,Bernice Robinson,USA,1.568,,2,Providence,Jul 12
19,Shirley Gordon,CAN,1.562,,1,Vancouver,Jun 30
20,Rie Yamanouchi,JPN,1.56,,,,
21,Margarete von Buchholtz,GER,1.55,,1,Hamburg,May 16
21,Lidia Borodina,URS,1.55,,2,Moscow,May 25
21,Catherine Bourkel,LUX,1.55,,1,Dudelingen,Jun 12
21,Ursula Ehrhardt,GER,1.55,,1,Marburg,Jun 13
21,Elisabeth Müller,BRA,1.55,,1,São Paulo,Jun 19
21,Ilse Steinegger,AUT,1.55,,2,Wien,Jul 11
21,Varvara Papysheva,URS,1.55,,1,Moscow,Jul 13
21,Hilde Gerschler,GER,1.55,,1,Braunsweig,Aug 04
21,Simone Ruas,FRA,1.55,,2,Colombes,Aug 16
21,Lidia Chaurskaya,URS,1.55,,1,Moscow,Aug 19
21,Gertrud Pagalies,GER,1.55,,1,Duisburg,Aug 29
21,Olga Gyarmati,HUN,1.55,,1,Budapest,Oct 16
21,Gertrud Schlüter,GER,1.55,,,,
21,W. Van Weteringen,NED,1.55,,,,
