rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Barbora potáková,CZE,67.99,,1,Bruxelles,Sep 05
2,Linda Stahl,GER,67.32,,1,"New York, NY",Jun 14
3,Hanna Hatsko-Fedusova,UKR,67.29,,1,Kirovohrad,Jul 26
4,Kimberley Mickle,AUS,66.83,,1,Melbourne,Mar 22
5,Madara Palameika,LAT,66.15,,1,Jelgava,Jun 26
6,Martina Ratej,SLO,66.13,,1,Velenje,Jul 01
7,Kathryn Mitchell,AUS,66.10,,2,Adelaide,Feb 15
8,Li Zhang,CHN,65.47,,1,Incheon,Oct 01
9,Sunette Viljoen,RSA,65.32,,1,Marrakech,Aug 13
10,Elizabeth Gleadle,CAN,64.50,,1,Lethbridge,May 16
11,Tatjana Jelaca,SRB,64.21,,2,Zürich,Aug 14
12,Kelsey-Lee Roberts,AUS,63.92,,1,Canberra,Feb 08
13,Flor Ruiz,COL,63.80,,1,Xalapa,Nov 27
14,Kathrina Molitor,GER,63.40,,2,Ulm,Jul 27
15,Christin Hussong,GER,63.34,,1,Luzern,Jul 15
16,Veronika Kanuchová,SVK,63.20,,2,Nové Zámky,Aug 02
17,Liina Laasma,EST,63.17,,1,Leiria,Mar 15
18,Kara Patterson,USA,62.90,,1,"Chula Vista, CA",Jul 31
19,Jucilene de Lima,BRA,62.89,,1,São Paulo,Oct 11
20,Goldie Sayers,GBR,62.75,,1,"Birmingham, GBR",Jun 29
21,Shiying Liu,CHN,62.72,,1,Chengdu,Mar 29
22,Lingwei Li,CHN,62.56,,1c1,Suzhou,Oct 10
23,Brittany Borman,USA,62.05,,2,"Sacramento, CA",Jun 26
24,Tatsiana Khaladovich,BLR,61.66,,5,Zürich,Aug 14
25,Sinta Ozolina-Kovala,LAT,61.61,,2,Jelgava,Jun 26
