rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Brittney Reese,USA,7.25,,1,Doha,May 10
2,Sostene Moguenara,GER,7.04,,1,Weinheim,Aug 02
3,Oksana Zhukovskaya,RUS,7.02,,1,Moskva,Jul 15
4,Blessing Okagbare,NGR,7.00,,,Monaco,Jul 19
5,Janay DeLoach-Soukup,USA,6.99,,,Doha,May 31
6,Funmi Jimoh,USA,6.92,,4,Doha,May 10
6,Shara Proctor,GBR,6.92,,3,Lausanne,Jul 04
8,Tori Bowie,USA,6.91,,1,"Westwood, CA",Apr 06
8,Elena Sokolova,RUS,6.91,,5,Doha,May 10
10,Darya Klishina,RUS,6.90,,1,Kazan,Jul 08
11,Lyudmila Kolchanova,RUS,6.89,,1,Moskva,Jul 23
12,Ivana panovic,SRB,6.82,,3,Moskva,Aug 11
12,Volha Sudarava,BLR,6.82,,4,Moskva,Aug 11
14,Lynique Prinsloo,RSA,6.81,,1,Stellenbosch,Apr 13
14,Olga Kucherenko,RUS,6.81,,5,Moskva,Aug 11
16,Veronika Mosina,RUS,6.79,,1,Moskva,Jun 11
17,Éloyse Lesueur,FRA,6.78,,6,Roma,Jun 06
17,Maryna Bekh,UKR,6.78,,1,Yalta,Jun 06
19,Lorraine Ugen,GBR,6.77,,1c2,"Eugene, OR",Jun 05
20,Lena Malkus,GER,6.76,,1,Tampere,Jul 14
21,Christabel Nettey,CAN,6.75,,1,"Tempe, AZ",Apr 06
21,Tori Polk,USA,6.75,,3q1,Moskva,Aug 10
23,Bianca Stuart,BAH,6.73,,1,Dakar,Jun 12
24,Chelsea Hayes,USA,6.72,,1,Nassau,Apr 13
24,Lauma Griva,LAT,6.72,,1,Tartu,May 28
24,Anna Kornuta,UKR,6.72,,1,Kyiv,Jun 14
1,Darya Klishina,RUS,7.01,i,1,Göteborg,Mar 02
2,Olga Kucherenko,RUS,7.00,i,1,Krasnodar,Jan 20
