rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Allison Roe,NZL,2.25.28,sh,1,New York,Oct 25
2,Patti Catalano,USA,2.27.51,,2,Boston,Apr 20
3,Lorraine Moller,NZL,2.29.36,,1,Duluth,Jun 20
4,Joyce Smith,GBR,2.29.57,,1,London,Mar 29
5,Ingrid Kristiansen,NOR,2.30.08,sh,2,New York,Oct 25
6,Julie Graw-Shea,USA,2.30.11,sh,3,New York,Oct 25
7,Joan Benoit,USA,2.30.16,,3,Boston,Apr 20
8,Jacqueline Gareau,CAN,2.31.26,,5,Boston,Apr 20
9,Sissel Grottenberg,NOR,2.33.02,,6,Boston,Apr 20
10,Charlotte Teske,FRG,2.33.13,,1,Orsov,Apr 25
11,Linda Staudt,CAN,2.33.33,,1,Montreal,Sep 13
12,Julie Brown,USA,2.33.40,,1,Dallas,Dec 05
13,Laura Fogli,ITA,2.34.48,,4,New York,Oct 25
13,Nancy Conz,USA,2.34.48,,7,Boston,Apr 20
15,Laurie Binder,USA,2.35.19,,2,Eugene,Sep 13
16,Glenys Quick,NZL,2.35.24,,2,Dallas,Dec 05
17,Christa Vahlensieck,FRG,2.35.37,,2,Orsoy,Apr 25
18,Jan Yerkes,USA,2.35.39,,5,New York,Oct 25
19,Laura Dewald,USA,2.35.57,,8,Boston,Apr 20
20,Janis Klecker,USA,2.36.47,,2,Duluth,Jun 20
21,Kiki Sweigart,USA,2.36.55,,9,Boston,Apr 20
22,Carey May,IRL,2.36.59,,1,Scottsdale,Dec 5
23,Karoline Nemetz,SWE,2.37.05,,6,New York,Oct 25
24,Gillian Drake,NZL,2.37.12,,2,London,Mar 29
25,Carol Gould,GBR,2.37.25,,7,New York,Oct 25
