rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Jessica Ennis,GBR,6955,,1,London,Aug 04
2,Tatyana Chernova,RUS,6774,,2,Götzis,May 27
3,Kristina Savitskaya,RUS,6681,,1,Cheboksary,Jun 03
4,Lilli Schwarzkopf,GER,6649,,2,London,Aug 04
5,Lyudmyla Yosypenko,UKR,6618,,4,London,Aug 04
6,Jessica Zelinka,CAN,6599,A,1,Calgary,Jun 28
6,Austra Skujyte,LTU,6599,,5,London,Aug 04
8,Ida Antoinette Nana Djimou,FRA,6576,,6,London,Aug 04
9,Olga Kurban,RUS,6528,,2,Cheboksary,Jun 03
10,Ekaterina Bolshova,RUS,6466,,3,Cheboksary,Jun 03
11,Brianne Theisen,CAN,6440,,1,"Des Moines, IA",Jun 08
12,Hyleas Fountain,USA,6419,,1,"Eugene, OR",Jun 30
13,Laura Ikauniece,LAT,6414,,9,London,Aug 04
14,Hanna Melnychenko,UKR,6407,,1,Yalta,May 28
15,Dafne Schippers,NED,6360,,7,Götzis,May 27
16,Jennifer Oeser,GER,6345,,8,Götzis,May 27
16,Julia Mächtig,GER,6345,,1,Ratingen,Jun 15
18,Sharon Day,USA,6343,,2,"Eugene, OR",Jun 30
19,Aiga Grabuste,LAT,6325,,4,Helsinki,Jun 28
20,Nadine Broersen,NED,6319,,13,London,Aug 04
21,Natallia Dobrynska,UKR,6311,,9,Götzis,May 27
22,Jessica Samuelsson,SWE,6300,,14,London,Aug 04
23,Elika Klucinová,CZE,6283,,1,Kladno,Jun 10
24,Katarina Johnson-Thompson,GBR,6267,,15,London,Aug 04
25,Margaret Simpson,GHA,6245,,13,Götzis,May 27
