rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Yelena Isinbayeva,RUS,4.82,,1,Gateshead,Jul 13
2,Svetlana Feofanova,RUS,4.75,,1,Paris,Aug 25
3,Tatyana Polnova,RUS,4.70,,1,Ostrava,Jun 12
3,Yvonne Buschbaum,GER,4.70,,1,Ulm,Jun 29
3,Annika Becker,GER,4.70,,2,Paris,Aug 25
6,Stacy Dragila,USA,4.62,,1,"Des Moines, IA",Apr 26
7,Pavla Hamackova,CZE,4.60,,1,Velenje,Jun 21
7,Monika Pyrek,POL,4.60,,3,Tríkala,Jun 24
7,Melissa Mueller,USA,4.60,,1,"Atascadero, CA",Jul 09
7,Yelena Belyakova,RUS,4.60,,1,Tula,Aug 10
11,Kellie Suttle,USA,4.58,,2,Poznan,Jun 29
12,Caroline Hingst,GER,4.51,,3,Salamanca,Jul 15
13,Vanessa Boslak,FRA,4.50,,1,Narbonne,Jul 26
14,Thorey Edda Elisdottir,ISL,4.48,sq,1,Recklinghausen,May 30
15,Becky Holliday,USA,4.47,,1,Stanford,May 30
16,Jillian Schwartz,USA,4.45,,2,Jonesboro,May 28
16,Tanya Koleva,BUL,4.45,,2,Velenje,Jun 21
16,Anna Rogowska,POL,4.45,,2,Bydgoszcz,Jul 13
16,Naroa Agirre,ESP,4.45,,1,Arona,Jul 26
20,Stephanie McCann,CAN,4.41,,2,Atascadero,Jul 09
21,Melina Hamilton,NZL,4.40,,1,Runaway Bay,Apr 12
21,Tracy O'Hara,USA,4.40,,1,"Walnut, CA",Apr 19
21,Mary Sauer,USA,4.40,,2=,"Carson, CA",Jun 01
21,Marie Poissonnier,FRA,4.40,,4=,Villeneuve-d'Ascq,Jun 15
21,Natalya Kushch,UKR,4.40,,3,Velenje,Jun 21
21,Yeoryia Tsiliggíri,GRE,4.40,,9,Tríkala,Jun 24
21,Kirsten Belin,SWE,4.40,,1,Göteborg,Jul 04
21,Anastasiya Ivanova,RUS,4.40,,1,Moscow,Jul 14
21,Amy Linnen,USA,4.40,,1,"Atascadero, CA",Jul 23
21,Shuying Gao,CHN,4.40,,1,Shijiazhuang,Aug 03
1,Svetlana Feofanova,RUS,4.80,i,1,Birmingham,Mar 16
2,Stacy Dragila,USA,4.78,i,1,Boston,Mar 02
3,Tatyana Polnova,RUS,4.70,i,1,Moscow,Feb 11
