rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Michelle Carter,USA,20.63,,1,Rio de Janeiro,Aug 12
2,Lijiao Gong,CHN,20.43,,1c2,Halle,May 21
3,Valerie Adams,NZL,20.42,,2,Rio de Janeiro,Aug 12
4,Christina Schwanitz,GER,20.17,,1,Amsterdam,Jul 07
5,Anita Márton,HUN,19.87,,3,Rio de Janeiro,Aug 12
6,Tia Brooks,USA,19.73,,1,"Birmingham, GBR",Jun 05
7,Raven Saunders,USA,19.35,,5,Rio de Janeiro,Aug 12
8,Felisha Johnson,USA,19.26,,1,"Naperville, IL",Jun 05
9,Yang Gao,CHN,19.20,,1,Neubrandenburg,Jul 20
10,Jeneva Stevens,USA,19.11,,1,"Carbondale, IL",Jun 22
11,Jillian Camarena-Williams,USA,18.99,,1,"Tucson, AZ",May 21
12,Brittany Smith,USA,18.94,,4,Lausanne,Aug 25
13,Yuliya Leantsiuk,BLR,18.92,,1,"Brest, BLR",Jun 10
14,Aliona Dubitskaya,BLR,18.78,,1,Mersin,May 24
14,Cleopatra Borel,TTO,18.78,,3,"Birmingham, GBR",Jun 05
16,Yaniuvis López,CUB,18.67,,1,La Habana,May 27
17,Emel Dereli,TUR,18.57,,3,Doha,May 06
18,Kelsey Card,USA,18.56,,1,"Madison, WI",May 06
19,Yanina Pravalinskay-Karolchyk,BLR,18.52,,1,Minsk,Jun 10
20,Chase Ealey,USA,18.46,,7,"Eugene, OR",Jul 07
21,Olga Golodna,UKR,18.45,,1,Kyiv,May 04
22,Ka Bian,CHN,18.36,,1,Chengdu,Apr 11
22,Melissa Boekelman,NED,18.36,,1,Burcht,Jul 09
24,Radoslava Mavrodieva,BUL,18.27,,1,Ruse,May 13
24,Geisa Arcanjo,BRA,18.27,,4q2,Rio de Janeiro,Aug 12
