rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Caterine Ibargüen,COL,15.17,,1,Rio de Janeiro,Aug 14
2,Yulimar Rojas,VEN,15.02,,1,Madrid,Jun 23
3,Olga Rypakova,KAZ,14.74,,3,Rio de Janeiro,Aug 14
4,Paraskeví Papahrístou,GRE,14.73,,1,Athína,Jun 08
5,Keturah Orji,USA,14.71,,4,Rio de Janeiro,Aug 14
6,Hanna Knyazyeva-Minenko,ISR,14.68,,5,Rio de Janeiro,Aug 14
7,Patrícia Mamona,POR,14.65,,6,Rio de Janeiro,Aug 14
8,Shanieka Thomas,JAM,14.57,,1,"Kingston, JAM",Apr 02
9,Liadagmis Povea,CUB,14.56,,1,La Habana,Mar 19
9,Kimberly Williams,JAM,14.56,,f,"Kingston, JAM",Jul 03
11,Liuba M. Zaldívar,CUB,14.51,A,1,Medellín,Jul 10
12,Ruslana Tsykhotska,UKR,14.41,,1,Lutsk,Jun 19
13,Olga Saladukha,UKR,14.40,,3,"Birmingham, GBR",Jun 05
13,Jeanine Assani Issouf,FRA,14.40,,1,Angers,Jun 26
15,Susana Costa,POR,14.34,,5,Amsterdam,Jul 10
16,Elena Panturoiu,ROU,14.33,,1,Pitesti,Jun 25
16,Anna Jagaciak,POL,14.33,,1q2,Amsterdam,Jul 08
18,Kristin Gierisch,GER,14.31,,1,Garbsen,May 22
19,Jenny Elbe,GER,14.28,,1,Dresden,May 14
20,Kristiina Mäkelä,FIN,14.24,,2q1,Rio de Janeiro,Aug 13
21,Ana José Tima,DOM,14.22,,3,Madrid,Jun 23
21,Natallia Viatkina,BLR,14.22,,1q1,Grodno,Jun 24
23,Iryna Vaskouskaya,BLR,14.19,,1,Grodno,Jun 25
24,Nubia Soares,BRA,14.17,,1,São Bernardo do Campo,Jul 03
24,Christina Epps,USA,14.17,,2,"Eugene, OR",Jul 07
